# Logfile created on 2026-03-04 23:23:38 +0100 by logger.rb/v1.5.3
2026-03-04 23:23:38 +0100: Memory Usage (436784K) : Starting running IHP-SG13G2 KLayout DRC runset on /foss/designs/HPAmplifier/OTA_Telescopic/Layout_and_Related_files/OTA_Telescopic_CMFB.gds
2026-03-04 23:23:38 +0100: Memory Usage (436784K) : Ruby Version for klayout: 3.2.3
2026-03-04 23:23:38 +0100: Memory Usage (437936K) : Loading database to memory is complete.
2026-03-04 23:23:38 +0100: Memory Usage (437936K) : IHP-SG13G2 KLayout DRC runset output at: /foss/designs/HPAmplifier/OTA_Telescopic/Layout_and_Related_files/drc_run_OTA_Telescopic_CMFB/OTA_Telescopic_CMFB_OTA_Telescopic_CMFB_main.lyrdb
2026-03-04 23:23:38 +0100: Memory Usage (437936K) : Evaluate switches.
2026-03-04 23:23:38 +0100: Memory Usage (437936K) : tables selected: main
2026-03-04 23:23:38 +0100: Memory Usage (437936K) : KLayout will use 1 thread(s) in tiled mode.
2026-03-04 23:23:38 +0100: Memory Usage (437936K) : deep mode is enabled.
2026-03-04 23:23:38 +0100: Memory Usage (437936K) : FEOL enabled: true
2026-03-04 23:23:38 +0100: Memory Usage (437936K) : BEOL enabled: true
2026-03-04 23:23:38 +0100: Memory Usage (437936K) : OFFGRID enabled: true
2026-03-04 23:23:38 +0100: Memory Usage (437936K) : PIN enabled: true
2026-03-04 23:23:38 +0100: Memory Usage (437936K) : FORBIDDEN enabled: true
2026-03-04 23:23:38 +0100: Memory Usage (437936K) : RECOMMENDED enabled: true
2026-03-04 23:23:38 +0100: Memory Usage (437936K) : PreCheck DRC enabled: false
2026-03-04 23:23:38 +0100: Memory Usage (437936K) : CONNECTIVITY_RULES enabled: true.
2026-03-04 23:23:38 +0100: Memory Usage (437936K) : Read in polygons from layers.
2026-03-04 23:23:38 +0100: Memory Usage (439088K) : activ_drw has 710 polygons
2026-03-04 23:23:38 +0100: Memory Usage (439088K) : activ_pin has 0 polygons
2026-03-04 23:23:38 +0100: Memory Usage (439088K) : activ_mask has 0 polygons
2026-03-04 23:23:38 +0100: Memory Usage (439088K) : activ_filler has 0 polygons
2026-03-04 23:23:38 +0100: Memory Usage (439088K) : activ_nofill has 0 polygons
2026-03-04 23:23:38 +0100: Memory Usage (439088K) : activ_opc has 0 polygons
2026-03-04 23:23:38 +0100: Memory Usage (439088K) : activ_iopc has 0 polygons
2026-03-04 23:23:38 +0100: Memory Usage (439088K) : activ_noqrc has 0 polygons
2026-03-04 23:23:38 +0100: Memory Usage (439088K) : biwind_drw has 0 polygons
2026-03-04 23:23:38 +0100: Memory Usage (439088K) : biwind_opc has 0 polygons
2026-03-04 23:23:38 +0100: Memory Usage (439088K) : pemwind_drw has 0 polygons
2026-03-04 23:23:38 +0100: Memory Usage (439088K) : gatpoly_drw has 608 polygons
2026-03-04 23:23:38 +0100: Memory Usage (439088K) : gatpoly_pin has 2 polygons
2026-03-04 23:23:38 +0100: Memory Usage (439088K) : gatpoly_filler has 0 polygons
2026-03-04 23:23:38 +0100: Memory Usage (439088K) : gatpoly_nofill has 0 polygons
2026-03-04 23:23:38 +0100: Memory Usage (439088K) : gatpoly_opc has 0 polygons
2026-03-04 23:23:38 +0100: Memory Usage (439088K) : gatpoly_iopc has 0 polygons
2026-03-04 23:23:38 +0100: Memory Usage (439088K) : gatpoly_noqrc has 0 polygons
2026-03-04 23:23:38 +0100: Memory Usage (439088K) : cont_drw has 1852 polygons
2026-03-04 23:23:38 +0100: Memory Usage (439088K) : cont_opc has 0 polygons
2026-03-04 23:23:38 +0100: Memory Usage (439088K) : nsd_drw has 0 polygons
2026-03-04 23:23:38 +0100: Memory Usage (439088K) : nsd_block has 0 polygons
2026-03-04 23:23:38 +0100: Memory Usage (439088K) : metal1_drw has 997 polygons
2026-03-04 23:23:38 +0100: Memory Usage (439344K) : metal1_pin has 100 polygons
2026-03-04 23:23:38 +0100: Memory Usage (439344K) : metal1_mask has 0 polygons
2026-03-04 23:23:38 +0100: Memory Usage (439344K) : metal1_filler has 0 polygons
2026-03-04 23:23:38 +0100: Memory Usage (439472K) : metal1_nofill has 0 polygons
2026-03-04 23:23:38 +0100: Memory Usage (439472K) : metal1_slit has 0 polygons
2026-03-04 23:23:38 +0100: Memory Usage (439600K) : metal1_text has 0 polygons
2026-03-04 23:23:38 +0100: Memory Usage (439600K) : metal1_opc has 0 polygons
2026-03-04 23:23:38 +0100: Memory Usage (439728K) : metal1_noqrc has 0 polygons
2026-03-04 23:23:38 +0100: Memory Usage (439728K) : metal1_res has 0 polygons
2026-03-04 23:23:38 +0100: Memory Usage (439856K) : metal1_iprobe has 0 polygons
2026-03-04 23:23:38 +0100: Memory Usage (439856K) : metal1_diffprb has 0 polygons
2026-03-04 23:23:38 +0100: Memory Usage (439984K) : passiv_drw has 0 polygons
2026-03-04 23:23:38 +0100: Memory Usage (439984K) : passiv_pin has 0 polygons
2026-03-04 23:23:38 +0100: Memory Usage (439984K) : passiv_sbump has 0 polygons
2026-03-04 23:23:38 +0100: Memory Usage (440112K) : passiv_pillar has 0 polygons
2026-03-04 23:23:38 +0100: Memory Usage (440112K) : passiv_pdl has 0 polygons
2026-03-04 23:23:38 +0100: Memory Usage (440240K) : metal2_drw has 61 polygons
2026-03-04 23:23:38 +0100: Memory Usage (440240K) : metal2_pin has 0 polygons
2026-03-04 23:23:38 +0100: Memory Usage (440368K) : metal2_mask has 0 polygons
2026-03-04 23:23:38 +0100: Memory Usage (440368K) : metal2_filler has 0 polygons
2026-03-04 23:23:38 +0100: Memory Usage (440368K) : metal2_nofill has 0 polygons
2026-03-04 23:23:38 +0100: Memory Usage (440496K) : metal2_slit has 0 polygons
2026-03-04 23:23:38 +0100: Memory Usage (440496K) : metal2_text has 0 polygons
2026-03-04 23:23:38 +0100: Memory Usage (440624K) : metal2_opc has 0 polygons
2026-03-04 23:23:38 +0100: Memory Usage (440752K) : metal2_noqrc has 0 polygons
2026-03-04 23:23:38 +0100: Memory Usage (440752K) : metal2_res has 0 polygons
2026-03-04 23:23:38 +0100: Memory Usage (440752K) : metal2_iprobe has 0 polygons
2026-03-04 23:23:38 +0100: Memory Usage (440880K) : metal2_diffprb has 0 polygons
2026-03-04 23:23:38 +0100: Memory Usage (440880K) : baspoly_drw has 0 polygons
2026-03-04 23:23:38 +0100: Memory Usage (441008K) : baspoly_pin has 0 polygons
2026-03-04 23:23:38 +0100: Memory Usage (441008K) : psd_drw has 120 polygons
2026-03-04 23:23:38 +0100: Memory Usage (441136K) : nldb_drw has 0 polygons
2026-03-04 23:23:38 +0100: Memory Usage (441136K) : digibnd_drw has 0 polygons
2026-03-04 23:23:38 +0100: Memory Usage (441264K) : via1_drw has 271 polygons
2026-03-04 23:23:38 +0100: Memory Usage (441264K) : backmetal1_drw has 0 polygons
2026-03-04 23:23:38 +0100: Memory Usage (441264K) : backmetal1_pin has 0 polygons
2026-03-04 23:23:38 +0100: Memory Usage (441392K) : backmetal1_mask has 0 polygons
2026-03-04 23:23:38 +0100: Memory Usage (441392K) : backmetal1_filler has 0 polygons
2026-03-04 23:23:38 +0100: Memory Usage (441520K) : backmetal1_nofill has 0 polygons
2026-03-04 23:23:38 +0100: Memory Usage (441520K) : backmetal1_slit has 0 polygons
2026-03-04 23:23:38 +0100: Memory Usage (441648K) : backmetal1_text has 0 polygons
2026-03-04 23:23:38 +0100: Memory Usage (441648K) : backmetal1_opc has 0 polygons
2026-03-04 23:23:38 +0100: Memory Usage (441648K) : backmetal1_noqrc has 0 polygons
2026-03-04 23:23:38 +0100: Memory Usage (441776K) : backmetal1_res has 0 polygons
2026-03-04 23:23:38 +0100: Memory Usage (441776K) : backmetal1_iprobe has 0 polygons
2026-03-04 23:23:38 +0100: Memory Usage (441904K) : backmetal1_diffprb has 0 polygons
2026-03-04 23:23:38 +0100: Memory Usage (441904K) : backpassiv_drw has 0 polygons
2026-03-04 23:23:38 +0100: Memory Usage (442032K) : res_drw has 0 polygons
2026-03-04 23:23:38 +0100: Memory Usage (442032K) : sram_drw has 0 polygons
2026-03-04 23:23:38 +0100: Memory Usage (442160K) : trans_drw has 0 polygons
2026-03-04 23:23:38 +0100: Memory Usage (442160K) : ind_drw has 0 polygons
2026-03-04 23:23:38 +0100: Memory Usage (442288K) : ind_pin has 0 polygons
