# Logfile created on 2026-03-01 22:23:59 +0100 by logger.rb/v1.5.3
2026-03-01 22:23:59 +0100: Memory Usage (437048K) : metal1_mask has 0 polygons
2026-03-01 22:23:59 +0100: Memory Usage (437048K) : metal1_filler has 0 polygons
2026-03-01 22:23:59 +0100: Memory Usage (437048K) : metal1_nofill has 0 polygons
2026-03-01 22:23:59 +0100: Memory Usage (437176K) : metal1_slit has 0 polygons
2026-03-01 22:23:59 +0100: Memory Usage (437304K) : metal1_text has 0 polygons
2026-03-01 22:23:59 +0100: Memory Usage (437304K) : metal1_opc has 0 polygons
2026-03-01 22:23:59 +0100: Memory Usage (437304K) : metal1_noqrc has 0 polygons
2026-03-01 22:23:59 +0100: Memory Usage (437432K) : metal1_res has 0 polygons
2026-03-01 22:23:59 +0100: Memory Usage (437432K) : metal1_iprobe has 0 polygons
2026-03-01 22:23:59 +0100: Memory Usage (437560K) : metal1_diffprb has 0 polygons
2026-03-01 22:23:59 +0100: Memory Usage (437560K) : passiv_drw has 0 polygons
2026-03-01 22:23:59 +0100: Memory Usage (437688K) : passiv_pin has 0 polygons
2026-03-01 22:23:59 +0100: Memory Usage (437688K) : passiv_sbump has 0 polygons
2026-03-01 22:23:59 +0100: Memory Usage (437688K) : passiv_pillar has 0 polygons
2026-03-01 22:23:59 +0100: Memory Usage (437816K) : passiv_pdl has 0 polygons
2026-03-01 22:23:59 +0100: Memory Usage (437816K) : metal2_drw has 138 polygons
2026-03-01 22:23:59 +0100: Memory Usage (437944K) : metal2_pin has 0 polygons
2026-03-01 22:23:59 +0100: Memory Usage (437944K) : metal2_mask has 0 polygons
2026-03-01 22:23:59 +0100: Memory Usage (438072K) : metal2_filler has 0 polygons
2026-03-01 22:23:59 +0100: Memory Usage (438072K) : metal2_nofill has 0 polygons
2026-03-01 22:23:59 +0100: Memory Usage (438072K) : metal2_slit has 0 polygons
2026-03-01 22:23:59 +0100: Memory Usage (438200K) : metal2_text has 0 polygons
2026-03-01 22:23:59 +0100: Memory Usage (438328K) : metal2_opc has 0 polygons
2026-03-01 22:23:59 +0100: Memory Usage (438328K) : metal2_noqrc has 0 polygons
2026-03-01 22:23:59 +0100: Memory Usage (438456K) : metal2_res has 0 polygons
2026-03-01 22:23:59 +0100: Memory Usage (438456K) : metal2_iprobe has 0 polygons
2026-03-01 22:23:59 +0100: Memory Usage (438584K) : metal2_diffprb has 0 polygons
2026-03-01 22:23:59 +0100: Memory Usage (438584K) : baspoly_drw has 0 polygons
2026-03-01 22:23:59 +0100: Memory Usage (438584K) : baspoly_pin has 0 polygons
2026-03-01 22:23:59 +0100: Memory Usage (438712K) : psd_drw has 78 polygons
2026-03-01 22:23:59 +0100: Memory Usage (438712K) : nldb_drw has 0 polygons
2026-03-01 22:23:59 +0100: Memory Usage (438840K) : digibnd_drw has 0 polygons
2026-03-01 22:23:59 +0100: Memory Usage (438840K) : via1_drw has 192 polygons
2026-03-01 22:23:59 +0100: Memory Usage (438968K) : backmetal1_drw has 0 polygons
2026-03-01 22:23:59 +0100: Memory Usage (438968K) : backmetal1_pin has 0 polygons
2026-03-01 22:23:59 +0100: Memory Usage (438968K) : backmetal1_mask has 0 polygons
2026-03-01 22:23:59 +0100: Memory Usage (439096K) : backmetal1_filler has 0 polygons
2026-03-01 22:23:59 +0100: Memory Usage (439096K) : backmetal1_nofill has 0 polygons
2026-03-01 22:23:59 +0100: Memory Usage (439224K) : backmetal1_slit has 0 polygons
2026-03-01 22:23:59 +0100: Memory Usage (439224K) : backmetal1_text has 0 polygons
2026-03-01 22:23:59 +0100: Memory Usage (439224K) : backmetal1_opc has 0 polygons
2026-03-01 22:23:59 +0100: Memory Usage (439352K) : backmetal1_noqrc has 0 polygons
2026-03-01 22:23:59 +0100: Memory Usage (439352K) : backmetal1_res has 0 polygons
2026-03-01 22:23:59 +0100: Memory Usage (439480K) : backmetal1_iprobe has 0 polygons
2026-03-01 22:23:59 +0100: Memory Usage (439480K) : backmetal1_diffprb has 0 polygons
2026-03-01 22:23:59 +0100: Memory Usage (439608K) : backpassiv_drw has 0 polygons
2026-03-01 22:23:59 +0100: Memory Usage (439608K) : res_drw has 0 polygons
2026-03-01 22:23:59 +0100: Memory Usage (439736K) : sram_drw has 0 polygons
2026-03-01 22:23:59 +0100: Memory Usage (439864K) : trans_drw has 0 polygons
2026-03-01 22:23:59 +0100: Memory Usage (439864K) : ind_drw has 0 polygons
2026-03-01 22:23:59 +0100: Memory Usage (439864K) : ind_pin has 0 polygons
2026-03-01 22:23:59 +0100: Memory Usage (439992K) : ind_text has 0 polygons
2026-03-01 22:23:59 +0100: Memory Usage (439992K) : salblock_drw has 0 polygons
2026-03-01 22:23:59 +0100: Memory Usage (440120K) : via2_drw has 0 polygons
2026-03-01 22:23:59 +0100: Memory Usage (440120K) : metal3_drw has 0 polygons
2026-03-01 22:23:59 +0100: Memory Usage (440248K) : metal3_pin has 0 polygons
2026-03-01 22:23:59 +0100: Memory Usage (440248K) : metal3_mask has 0 polygons
2026-03-01 22:23:59 +0100: Memory Usage (440376K) : metal3_filler has 0 polygons
2026-03-01 22:23:59 +0100: Memory Usage (440504K) : metal3_nofill has 0 polygons
2026-03-01 22:23:59 +0100: Memory Usage (440504K) : metal3_slit has 0 polygons
2026-03-01 22:23:59 +0100: Memory Usage (440632K) : metal3_text has 0 polygons
2026-03-01 22:23:59 +0100: Memory Usage (440632K) : metal3_opc has 0 polygons
2026-03-01 22:23:59 +0100: Memory Usage (440632K) : metal3_noqrc has 0 polygons
2026-03-01 22:23:59 +0100: Memory Usage (440760K) : metal3_res has 0 polygons
2026-03-01 22:23:59 +0100: Memory Usage (440760K) : metal3_iprobe has 0 polygons
2026-03-01 22:23:59 +0100: Memory Usage (440888K) : metal3_diffprb has 0 polygons
2026-03-01 22:23:59 +0100: Memory Usage (440888K) : nwell_drw has 0 polygons
2026-03-01 22:23:59 +0100: Memory Usage (441016K) : nwell_pin has 0 polygons
2026-03-01 22:23:59 +0100: Memory Usage (441016K) : nbulay_drw has 0 polygons
2026-03-01 22:23:59 +0100: Memory Usage (441016K) : nbulay_pin has 0 polygons
2026-03-01 22:23:59 +0100: Memory Usage (441144K) : nbulay_block has 0 polygons
2026-03-01 22:23:59 +0100: Memory Usage (441272K) : emwind_drw has 0 polygons
2026-03-01 22:23:59 +0100: Memory Usage (441272K) : emwind_opc has 0 polygons
2026-03-01 22:23:59 +0100: Memory Usage (441400K) : deepco_drw has 0 polygons
2026-03-01 22:23:59 +0100: Memory Usage (441400K) : deepco_drw has 0 polygons
2026-03-01 22:23:59 +0100: Memory Usage (441528K) : mim_drw has 0 polygons
2026-03-01 22:23:59 +0100: Memory Usage (441528K) : edgeseal_drw has 0 polygons
2026-03-01 22:23:59 +0100: Memory Usage (441656K) : edgeseal_bound has 0 polygons
2026-03-01 22:23:59 +0100: Memory Usage (441656K) : substrate_drw has 0 polygons
2026-03-01 22:23:59 +0100: Memory Usage (441784K) : substrate_text has 0 polygons
2026-03-01 22:23:59 +0100: Memory Usage (441784K) : dfpad_drw has 0 polygons
2026-03-01 22:23:59 +0100: Memory Usage (441912K) : dfpad_pillar has 0 polygons
2026-03-01 22:23:59 +0100: Memory Usage (441912K) : dfpad_sbump has 0 polygons
2026-03-01 22:23:59 +0100: Memory Usage (441912K) : thickgateox_drw has 0 polygons
2026-03-01 22:23:59 +0100: Memory Usage (442040K) : pldb_drw has 0 polygons
2026-03-01 22:23:59 +0100: Memory Usage (442040K) : pwell_drw has 0 polygons
2026-03-01 22:23:59 +0100: Memory Usage (442168K) : pwell_pin has 0 polygons
2026-03-01 22:23:59 +0100: Memory Usage (442168K) : pwell_block has 0 polygons
2026-03-01 22:23:59 +0100: Memory Usage (442296K) : ic_drw has 0 polygons
2026-03-01 22:23:59 +0100: Memory Usage (442296K) : via3_drw has 0 polygons
2026-03-01 22:23:59 +0100: Memory Usage (442424K) : metal4_drw has 0 polygons
2026-03-01 22:23:59 +0100: Memory Usage (442424K) : metal4_pin has 0 polygons
2026-03-01 22:23:59 +0100: Memory Usage (442552K) : metal4_mask has 0 polygons
2026-03-01 22:23:59 +0100: Memory Usage (442552K) : metal4_filler has 0 polygons
2026-03-01 22:23:59 +0100: Memory Usage (442680K) : metal4_nofill has 0 polygons
2026-03-01 22:23:59 +0100: Memory Usage (442680K) : metal4_slit has 0 polygons
2026-03-01 22:23:59 +0100: Memory Usage (442680K) : metal4_text has 0 polygons
2026-03-01 22:23:59 +0100: Memory Usage (442808K) : metal4_opc has 0 polygons
2026-03-01 22:23:59 +0100: Memory Usage (442808K) : metal4_noqrc has 0 polygons
2026-03-01 22:23:59 +0100: Memory Usage (442936K) : metal4_res has 0 polygons
2026-03-01 22:23:59 +0100: Memory Usage (443064K) : metal4_iprobe has 0 polygons
2026-03-01 22:23:59 +0100: Memory Usage (443064K) : metal4_diffprb has 0 polygons
2026-03-01 22:23:59 +0100: Memory Usage (443192K) : heattrans_drw has 54 polygons
2026-03-01 22:23:59 +0100: Memory Usage (443192K) : heatres_drw has 0 polygons
2026-03-01 22:23:59 +0100: Memory Usage (443192K) : pempoly_drw has 0 polygons
2026-03-01 22:23:59 +0100: Memory Usage (443320K) : fbe_drw has 0 polygons
2026-03-01 22:23:59 +0100: Memory Usage (443320K) : empoly_drw has 0 polygons
2026-03-01 22:23:59 +0100: Memory Usage (443448K) : ldmos_drw has 0 polygons
2026-03-01 22:23:59 +0100: Memory Usage (443576K) : pbiwind_drw has 0 polygons
2026-03-01 22:23:59 +0100: Memory Usage (443576K) : digisub_drw has 0 polygons
2026-03-01 22:23:59 +0100: Memory Usage (443576K) : nodrc_drw has 0 polygons
2026-03-01 22:23:59 +0100: Memory Usage (443832K) : text_drw has 6 polygons
2026-03-01 22:23:59 +0100: Memory Usage (443832K) : via4_drw has 0 polygons
2026-03-01 22:23:59 +0100: Memory Usage (443960K) : metal5_drw has 0 polygons
2026-03-01 22:23:59 +0100: Memory Usage (443960K) : metal5_pin has 0 polygons
2026-03-01 22:23:59 +0100: Memory Usage (444088K) : metal5_mask has 0 polygons
