# Logfile created on 2026-03-07 03:48:53 +0100 by logger.rb/v1.5.3
2026-03-07 03:48:53 +0100: Memory Usage (442084K) : baspoly_pin has 0 polygons
2026-03-07 03:48:53 +0100: Memory Usage (442084K) : psd_drw has 992 polygons
2026-03-07 03:48:53 +0100: Memory Usage (442212K) : nldb_drw has 0 polygons
2026-03-07 03:48:53 +0100: Memory Usage (442212K) : digibnd_drw has 0 polygons
2026-03-07 03:48:53 +0100: Memory Usage (442212K) : via1_drw has 5546 polygons
2026-03-07 03:48:53 +0100: Memory Usage (442340K) : backmetal1_drw has 0 polygons
2026-03-07 03:48:53 +0100: Memory Usage (442468K) : backmetal1_pin has 0 polygons
2026-03-07 03:48:53 +0100: Memory Usage (442468K) : backmetal1_mask has 0 polygons
2026-03-07 03:48:53 +0100: Memory Usage (442596K) : backmetal1_filler has 0 polygons
2026-03-07 03:48:53 +0100: Memory Usage (442596K) : backmetal1_nofill has 0 polygons
2026-03-07 03:48:53 +0100: Memory Usage (442596K) : backmetal1_slit has 0 polygons
2026-03-07 03:48:53 +0100: Memory Usage (442724K) : backmetal1_text has 0 polygons
2026-03-07 03:48:53 +0100: Memory Usage (442724K) : backmetal1_opc has 0 polygons
2026-03-07 03:48:53 +0100: Memory Usage (442852K) : backmetal1_noqrc has 0 polygons
2026-03-07 03:48:53 +0100: Memory Usage (442852K) : backmetal1_res has 0 polygons
2026-03-07 03:48:53 +0100: Memory Usage (442980K) : backmetal1_iprobe has 0 polygons
2026-03-07 03:48:53 +0100: Memory Usage (442980K) : backmetal1_diffprb has 0 polygons
2026-03-07 03:48:53 +0100: Memory Usage (442980K) : backpassiv_drw has 0 polygons
2026-03-07 03:48:53 +0100: Memory Usage (443108K) : res_drw has 0 polygons
2026-03-07 03:48:53 +0100: Memory Usage (443108K) : sram_drw has 0 polygons
2026-03-07 03:48:53 +0100: Memory Usage (443236K) : trans_drw has 0 polygons
2026-03-07 03:48:53 +0100: Memory Usage (443364K) : ind_drw has 0 polygons
2026-03-07 03:48:53 +0100: Memory Usage (443364K) : ind_pin has 0 polygons
2026-03-07 03:48:53 +0100: Memory Usage (443364K) : ind_text has 0 polygons
2026-03-07 03:48:53 +0100: Memory Usage (443492K) : salblock_drw has 7 polygons
2026-03-07 03:48:53 +0100: Memory Usage (443492K) : via2_drw has 2420 polygons
2026-03-07 03:48:53 +0100: Memory Usage (443620K) : metal3_drw has 181 polygons
2026-03-07 03:48:53 +0100: Memory Usage (443748K) : metal3_pin has 8 polygons
2026-03-07 03:48:53 +0100: Memory Usage (443748K) : metal3_mask has 0 polygons
2026-03-07 03:48:53 +0100: Memory Usage (443876K) : metal3_filler has 0 polygons
2026-03-07 03:48:53 +0100: Memory Usage (444004K) : metal3_nofill has 0 polygons
2026-03-07 03:48:53 +0100: Memory Usage (444004K) : metal3_slit has 0 polygons
2026-03-07 03:48:53 +0100: Memory Usage (444004K) : metal3_text has 9 polygons
2026-03-07 03:48:53 +0100: Memory Usage (444132K) : metal3_opc has 0 polygons
2026-03-07 03:48:53 +0100: Memory Usage (444132K) : metal3_noqrc has 0 polygons
2026-03-07 03:48:53 +0100: Memory Usage (444260K) : metal3_res has 0 polygons
2026-03-07 03:48:53 +0100: Memory Usage (444260K) : metal3_iprobe has 0 polygons
2026-03-07 03:48:53 +0100: Memory Usage (444388K) : metal3_diffprb has 0 polygons
2026-03-07 03:48:53 +0100: Memory Usage (444388K) : nwell_drw has 1026 polygons
2026-03-07 03:48:53 +0100: Memory Usage (444516K) : nwell_pin has 0 polygons
2026-03-07 03:48:53 +0100: Memory Usage (444516K) : nbulay_drw has 0 polygons
2026-03-07 03:48:53 +0100: Memory Usage (444516K) : nbulay_pin has 0 polygons
2026-03-07 03:48:53 +0100: Memory Usage (444644K) : nbulay_block has 0 polygons
2026-03-07 03:48:53 +0100: Memory Usage (444772K) : emwind_drw has 0 polygons
2026-03-07 03:48:53 +0100: Memory Usage (444772K) : emwind_opc has 0 polygons
2026-03-07 03:48:53 +0100: Memory Usage (444900K) : deepco_drw has 0 polygons
2026-03-07 03:48:53 +0100: Memory Usage (445028K) : deepco_drw has 0 polygons
2026-03-07 03:48:53 +0100: Memory Usage (445028K) : mim_drw has 2 polygons
2026-03-07 03:48:53 +0100: Memory Usage (445028K) : edgeseal_drw has 0 polygons
2026-03-07 03:48:53 +0100: Memory Usage (445156K) : edgeseal_bound has 0 polygons
2026-03-07 03:48:53 +0100: Memory Usage (445156K) : substrate_drw has 705 polygons
2026-03-07 03:48:53 +0100: Memory Usage (445284K) : substrate_text has 0 polygons
2026-03-07 03:48:53 +0100: Memory Usage (445284K) : dfpad_drw has 0 polygons
2026-03-07 03:48:53 +0100: Memory Usage (445412K) : dfpad_pillar has 0 polygons
2026-03-07 03:48:53 +0100: Memory Usage (445412K) : dfpad_sbump has 0 polygons
2026-03-07 03:48:53 +0100: Memory Usage (445412K) : thickgateox_drw has 0 polygons
2026-03-07 03:48:53 +0100: Memory Usage (445540K) : pldb_drw has 0 polygons
2026-03-07 03:48:53 +0100: Memory Usage (445540K) : pwell_drw has 0 polygons
2026-03-07 03:48:53 +0100: Memory Usage (445668K) : pwell_pin has 0 polygons
2026-03-07 03:48:53 +0100: Memory Usage (445668K) : pwell_block has 0 polygons
2026-03-07 03:48:53 +0100: Memory Usage (445796K) : ic_drw has 0 polygons
2026-03-07 03:48:53 +0100: Memory Usage (445924K) : via3_drw has 2198 polygons
2026-03-07 03:48:53 +0100: Memory Usage (445924K) : metal4_drw has 120 polygons
2026-03-07 03:48:53 +0100: Memory Usage (445924K) : metal4_pin has 1 polygons
2026-03-07 03:48:53 +0100: Memory Usage (446052K) : metal4_mask has 0 polygons
2026-03-07 03:48:53 +0100: Memory Usage (446052K) : metal4_filler has 0 polygons
2026-03-07 03:48:53 +0100: Memory Usage (446180K) : metal4_nofill has 0 polygons
2026-03-07 03:48:53 +0100: Memory Usage (446180K) : metal4_slit has 0 polygons
2026-03-07 03:48:53 +0100: Memory Usage (446308K) : metal4_text has 2 polygons
2026-03-07 03:48:53 +0100: Memory Usage (446308K) : metal4_opc has 0 polygons
2026-03-07 03:48:53 +0100: Memory Usage (446308K) : metal4_noqrc has 0 polygons
2026-03-07 03:48:53 +0100: Memory Usage (446436K) : metal4_res has 0 polygons
2026-03-07 03:48:53 +0100: Memory Usage (446564K) : metal4_iprobe has 0 polygons
2026-03-07 03:48:53 +0100: Memory Usage (446564K) : metal4_diffprb has 0 polygons
2026-03-07 03:48:53 +0100: Memory Usage (446692K) : heattrans_drw has 1411 polygons
2026-03-07 03:48:53 +0100: Memory Usage (446692K) : heatres_drw has 7 polygons
